property_id	tool	suite	target_id	query_or_lemma	property_kind	expected_status
tam-combined-replay-normal_confirmed_single_accept	tamarin-prover	combined-replay	normal_confirmed_single_accept	normal_confirmed_single_accept	non_vacuity	verified
tam-combined-replay-normal_confirmed_batch_complete	tamarin-prover	combined-replay	normal_confirmed_batch_complete	normal_confirmed_batch_complete	non_vacuity	verified
tam-combined-replay-confirmed_receiver_accept_has_sender	tamarin-prover	combined-replay	confirmed_receiver_accept_has_sender	confirmed_receiver_accept_has_sender	structural_result	verified
tam-combined-replay-confirmed_message_unique_send	tamarin-prover	combined-replay	confirmed_message_unique_send	confirmed_message_unique_send	direct_theorem	verified
tam-combined-replay-one_confirmed_send_two_accepts_exists	tamarin-prover	combined-replay	one_confirmed_send_two_accepts_exists	one_confirmed_send_two_accepts_exists	blocked_attack_witness_regression	falsified
tam-combined-replay-confirmed_message_accepted_at_most_once	tamarin-prover	combined-replay	confirmed_message_accepted_at_most_once	confirmed_message_accepted_at_most_once	direct_theorem	verified
tam-combined-replay-injective_confirmed_receiver_accept	tamarin-prover	combined-replay	injective_confirmed_receiver_accept	injective_confirmed_receiver_accept	direct_theorem	verified
tam-combined-replay-slot_indices_distinct	tamarin-prover	combined-replay	slot_indices_distinct	slot_indices_distinct	regression	verified
tam-combined-replay-process_requires_slot_added	tamarin-prover	combined-replay	process_requires_slot_added	process_requires_slot_added	regression	verified
tam-combined-replay-process_requires_seal	tamarin-prover	combined-replay	process_requires_seal	process_requires_seal	regression	verified
tam-combined-replay-complete_requires_all_slots_processed	tamarin-prover	combined-replay	complete_requires_all_slots_processed	complete_requires_all_slots_processed	regression	verified
tam-combined-replay-no_add_after_seal	tamarin-prover	combined-replay	no_add_after_seal	no_add_after_seal	regression	verified
tam-combined-replay-no_accept_after_close	tamarin-prover	combined-replay	no_accept_after_close	no_accept_after_close	regression	verified
tam-combined-replay-batch_complete_consumes_state	tamarin-prover	combined-replay	batch_complete_consumes_state	batch_complete_consumes_state	regression	verified
tam-combined-replay-batch_fail_consumes_state	tamarin-prover	combined-replay	batch_fail_consumes_state	batch_fail_consumes_state	regression	verified
tam-combined-replay-batch_end_token_single_use	tamarin-prover	combined-replay	batch_end_token_single_use	batch_end_token_single_use	regression	verified
tam-combined-replay-receiver_state_single_batch	tamarin-prover	combined-replay	receiver_state_single_batch	receiver_state_single_batch	regression	verified
tam-combined-replay-receiver_state_single_batch_end	tamarin-prover	combined-replay	receiver_state_single_batch_end	receiver_state_single_batch_end	regression	verified
tam-combined-replay-duplicate_batch_fail_exists	tamarin-prover	combined-replay	duplicate_batch_fail_exists	duplicate_batch_fail_exists	non_vacuity	verified
tam-combined-replay-duplicate_detected_before_any_accept	tamarin-prover	combined-replay	duplicate_detected_before_any_accept	duplicate_detected_before_any_accept	direct_theorem	verified
tam-combined-replay-duplicate_batch_has_no_accept	tamarin-prover	combined-replay	duplicate_batch_has_no_accept	duplicate_batch_has_no_accept	direct_theorem	verified
tam-combined-replay-process_requires_dedup_pass	tamarin-prover	combined-replay	process_requires_dedup_pass	process_requires_dedup_pass	regression	verified
tam-combined-replay-dedup_pass_messages_distinct	tamarin-prover	combined-replay	dedup_pass_messages_distinct	dedup_pass_messages_distinct	regression	verified
tam-combined-replay-dedup_decision_single_use	tamarin-prover	combined-replay	dedup_decision_single_use	dedup_decision_single_use	regression	verified
tam-combined-replay-dedup_outcomes_exclusive	tamarin-prover	combined-replay	dedup_outcomes_exclusive	dedup_outcomes_exclusive	regression	verified
tam-combined-replay-normal_distinct_batch_complete	tamarin-prover	combined-replay	normal_distinct_batch_complete	normal_distinct_batch_complete	non_vacuity	verified
tam-combined-replay-normal_distinct_fail_slot1_exists	tamarin-prover	combined-replay	normal_distinct_fail_slot1_exists	normal_distinct_fail_slot1_exists	non_vacuity	verified
tam-combined-replay-normal_distinct_fail_slot2_exists	tamarin-prover	combined-replay	normal_distinct_fail_slot2_exists	normal_distinct_fail_slot2_exists	non_vacuity	verified
tam-combined-replay-batch_fail_complete_exclusive	tamarin-prover	combined-replay	batch_fail_complete_exclusive	batch_fail_complete_exclusive	regression	verified
tam-combined-replay-state_consumed_on_duplicate_fail	tamarin-prover	combined-replay	state_consumed_on_duplicate_fail	state_consumed_on_duplicate_fail	regression	verified
tam-combined-replay-confirmed_base_message_accepted_at_most_once	tamarin-prover	combined-replay	confirmed_base_message_accepted_at_most_once	confirmed_base_message_accepted_at_most_once	direct_theorem	verified
tam-combined-replay-duplicate_same_base_different_tag_fail_exists	tamarin-prover	combined-replay	duplicate_same_base_different_tag_fail_exists	duplicate_same_base_different_tag_fail_exists	non_vacuity	verified
tam-combined-replay-confirmed_accept_requires_valid_tag	tamarin-prover	combined-replay	confirmed_accept_requires_valid_tag	confirmed_accept_requires_valid_tag	structural_result	verified
tam-combined-replay-confirmed_accept_requires_hmac_validated	tamarin-prover	combined-replay	confirmed_accept_requires_hmac_validated	confirmed_accept_requires_hmac_validated	structural_result	verified
tam-combined-replay-hmac_failure_slot1_exists	tamarin-prover	combined-replay	hmac_failure_slot1_exists	hmac_failure_slot1_exists	non_vacuity	verified
tam-combined-replay-hmac_failure_slot2_after_prior_accept_replay_exists	tamarin-prover	combined-replay	hmac_failure_slot2_after_prior_accept_replay_exists	hmac_failure_slot2_after_prior_accept_replay_exists	non_vacuity	verified
tam-combined-replay-hmac_failed_slot_has_no_accept	tamarin-prover	combined-replay	hmac_failed_slot_has_no_accept	hmac_failed_slot_has_no_accept	direct_theorem	verified
tam-combined-replay-normal_two_distinct_valid_confirmed_accepts_complete	tamarin-prover	combined-replay	normal_two_distinct_valid_confirmed_accepts_complete	normal_two_distinct_valid_confirmed_accepts_complete	non_vacuity	verified
tam-combined-impact-normal_confirmed_single_accept	tamarin-prover	combined-impact	normal_confirmed_single_accept	normal_confirmed_single_accept	non_vacuity	verified
tam-combined-impact-normal_confirmed_batch_complete	tamarin-prover	combined-impact	normal_confirmed_batch_complete	normal_confirmed_batch_complete	non_vacuity	verified
tam-combined-impact-confirmed_receiver_accept_has_sender	tamarin-prover	combined-impact	confirmed_receiver_accept_has_sender	confirmed_receiver_accept_has_sender	structural_result	verified
tam-combined-impact-confirmed_message_unique_send	tamarin-prover	combined-impact	confirmed_message_unique_send	confirmed_message_unique_send	direct_theorem	verified
tam-combined-impact-one_confirmed_send_two_accepts_exists	tamarin-prover	combined-impact	one_confirmed_send_two_accepts_exists	one_confirmed_send_two_accepts_exists	blocked_attack_witness_regression	falsified
tam-combined-impact-confirmed_message_accepted_at_most_once	tamarin-prover	combined-impact	confirmed_message_accepted_at_most_once	confirmed_message_accepted_at_most_once	direct_theorem	verified
tam-combined-impact-injective_confirmed_receiver_accept	tamarin-prover	combined-impact	injective_confirmed_receiver_accept	injective_confirmed_receiver_accept	direct_theorem	verified
tam-combined-impact-slot_indices_distinct	tamarin-prover	combined-impact	slot_indices_distinct	slot_indices_distinct	regression	verified
tam-combined-impact-process_requires_slot_added	tamarin-prover	combined-impact	process_requires_slot_added	process_requires_slot_added	regression	verified
tam-combined-impact-process_requires_seal	tamarin-prover	combined-impact	process_requires_seal	process_requires_seal	regression	verified
tam-combined-impact-complete_requires_all_slots_processed	tamarin-prover	combined-impact	complete_requires_all_slots_processed	complete_requires_all_slots_processed	regression	verified
tam-combined-impact-no_add_after_seal	tamarin-prover	combined-impact	no_add_after_seal	no_add_after_seal	regression	verified
tam-combined-impact-no_accept_after_close	tamarin-prover	combined-impact	no_accept_after_close	no_accept_after_close	regression	verified
tam-combined-impact-batch_complete_consumes_state	tamarin-prover	combined-impact	batch_complete_consumes_state	batch_complete_consumes_state	regression	verified
tam-combined-impact-batch_fail_consumes_state	tamarin-prover	combined-impact	batch_fail_consumes_state	batch_fail_consumes_state	regression	verified
tam-combined-impact-batch_end_token_single_use	tamarin-prover	combined-impact	batch_end_token_single_use	batch_end_token_single_use	regression	verified
tam-combined-impact-receiver_state_single_batch	tamarin-prover	combined-impact	receiver_state_single_batch	receiver_state_single_batch	regression	verified
tam-combined-impact-receiver_state_single_batch_end	tamarin-prover	combined-impact	receiver_state_single_batch_end	receiver_state_single_batch_end	regression	verified
tam-combined-impact-duplicate_batch_fail_exists	tamarin-prover	combined-impact	duplicate_batch_fail_exists	duplicate_batch_fail_exists	non_vacuity	verified
tam-combined-impact-duplicate_detected_before_any_accept	tamarin-prover	combined-impact	duplicate_detected_before_any_accept	duplicate_detected_before_any_accept	direct_theorem	verified
tam-combined-impact-duplicate_batch_has_no_accept	tamarin-prover	combined-impact	duplicate_batch_has_no_accept	duplicate_batch_has_no_accept	direct_theorem	verified
tam-combined-impact-process_requires_dedup_pass	tamarin-prover	combined-impact	process_requires_dedup_pass	process_requires_dedup_pass	regression	verified
tam-combined-impact-dedup_pass_messages_distinct	tamarin-prover	combined-impact	dedup_pass_messages_distinct	dedup_pass_messages_distinct	regression	verified
tam-combined-impact-dedup_decision_single_use	tamarin-prover	combined-impact	dedup_decision_single_use	dedup_decision_single_use	regression	verified
tam-combined-impact-dedup_outcomes_exclusive	tamarin-prover	combined-impact	dedup_outcomes_exclusive	dedup_outcomes_exclusive	regression	verified
tam-combined-impact-normal_distinct_batch_complete	tamarin-prover	combined-impact	normal_distinct_batch_complete	normal_distinct_batch_complete	non_vacuity	verified
tam-combined-impact-normal_distinct_fail_slot1_exists	tamarin-prover	combined-impact	normal_distinct_fail_slot1_exists	normal_distinct_fail_slot1_exists	non_vacuity	verified
tam-combined-impact-normal_distinct_fail_slot2_exists	tamarin-prover	combined-impact	normal_distinct_fail_slot2_exists	normal_distinct_fail_slot2_exists	non_vacuity	verified
