claim_id	paper_class	property_id	evidence_role	model_path	evidence_path	assumptions_ref	limitations_ref	allowed_statement_ref	prohibited_statement_ref	status
P0-S	paper-mainline	pv-original-baseline-q05	inherited evidence	logs/final/proverif/generated/BASELINE.pv	logs/final/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	true
P0-O	paper-mainline	pv-original-component-q01	structural result	logs/final/proverif/generated/COMPONENT.pv	logs/final/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	true
P1	paper-mainline	pv-original-baseline-q02	falsified universal property	logs/final/proverif/generated/BASELINE.pv	logs/final/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	false
P1	paper-mainline	pv-hmac-hmac_baseline-q02	direct theorem	logs/variants/hmac-confirmation/proverif/generated/HMAC_BASELINE.pv	logs/variants/hmac-confirmation/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	true
P1	paper-mainline	pv-hmac-hmac_leak_sigsk_a-q02	falsified universal property	logs/variants/hmac-confirmation/proverif/generated/HMAC_LEAK_SIGSK_A.pv	logs/variants/hmac-confirmation/proverif/summary.txt	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	false
P2	paper-mainline	tam-original-replay-one_send_two_accepts_exists	positive attack witness	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P2	paper-mainline	tam-original-replay-same_message_accepted_at_most_once	falsified universal property	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	falsified
P2	paper-mainline	tam-original-replay-receiver_accept_has_sender	direct theorem	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P2	paper-mainline	tam-original-replay-normal_single_accept	non-vacuity result	tamarin/replay/kwaay_replay_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P2	paper-mainline	tam-original-impact-one_send_two_accepts_two_installs_exists	positive attack witness	tamarin/impact/kwaay_impact_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P2	paper-mainline	tam-original-impact-unique_install_within_completed_consumer	falsified universal property	tamarin/impact/kwaay_impact_original.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	falsified
P3	paper-mainline	tam-fixed-replay-one_send_two_accepts_exists	blocked attack witness regression	tamarin/replay/kwaay_replay_fixed.spthy	logs/tamarin-m3-closeout/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	falsified
P3	paper-mainline	tam-fixed-replay-same_message_accepted_at_most_once	direct theorem	tamarin/replay/kwaay_replay_fixed.spthy	logs/tamarin-m3-closeout/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P3	paper-mainline	tam-fixed-impact-unique_install_within_completed_consumer	conditional C_install-v2 result	tamarin/impact/kwaay_impact_fixed.spthy	logs/tamarin-m3-closeout/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P3	paper-mainline	tam-combined-replay-confirmed_message_accepted_at_most_once	transparent composite	tamarin/replay/kwaay_replay_hmac_dedup.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P3	paper-mainline	tam-combined-impact-unique_install_within_completed_consumer	conditional C_install-v2 result	tamarin/impact/kwaay_impact_hmac_dedup.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
P3	regression-only	tam-v6-executable_seal_batch	regression	tamarin/kwaay_splitkem_batch_dynamic_v6.spthy	logs/tamarin-m4-hmac-dedup/composite-result-vector.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	verified
M4-SCOPE	paper-mainline	m4-pv-original-baseline-q02	scope declaration	logs/final/proverif/generated/BASELINE.pv	artifact/results/expected-results.tsv	docs/threat-compromise-matrix.md	docs/model-mapping.md	docs/claim-hierarchy.md	docs/claim-hierarchy.md	not_run_out_of_scope
