id	authors	title	venue	year	pages	doi	primary_url	source_verified	content_checked	relation_class	collision_level
L1	Daniel Collins; Loïs Huguenin-Dumittan; Ngoc Khanh Nguyen; Nicolas Rolin; Serge Vaudenay	K-Waay: Fast and Deniable Post-Quantum X3DH without Ring Signatures	33rd USENIX Security Symposium	2024	433-450		https://www.usenix.org/conference/usenixsecurity24/presentation/collins	yes	abstract; contributions; DAKE syntax; BatchReceive; different-party assumption; construction; security theorem	DIRECT_PRIOR_WORK	MEDIUM
L2	Katriel Cohn-Gordon; Cas Cremers; Benjamin Dowling; Luke Garratt; Douglas Stebila	A Formal Security Analysis of the Signal Messaging Protocol	Journal of Cryptology 33	2020	1914-1983	10.1007/s00145-020-09360-1	https://link.springer.com/article/10.1007/s00145-020-09360-1	yes	abstract; X3DH and Double Ratchet scope; multi-stage AKE model; security results	STRONGLY_ADJACENT	LOW
L3	Karthikeyan Bhargavan; Charlie Jacomme; Franziskus Kiefer; Rolfe Schmidt	Formal Verification of the PQXDH Post-Quantum Key Agreement Protocol for End-to-End Secure Messaging	33rd USENIX Security Symposium	2024	469-486		https://www.usenix.org/conference/usenixsecurity24/presentation/bhargavan	yes	abstract; ProVerif and CryptoVerif methodology; authentication and secrecy goals; specification findings; boundaries	STRONGLY_ADJACENT	LOW
L4	Cas Cremers; Charlie Jacomme; Aurora Naska	Formal Analysis of Session-Handling in Secure Messaging: Lifting Security from Sessions to Conversations	32nd USENIX Security Symposium	2023	1235-1252		https://www.usenix.org/conference/usenixsecurity23/presentation/cremers-session-handling	yes	introduction; motivation; model abstraction; results; related work; limitations	HIGHLY_RELEVANT_ADJACENT	MEDIUM
L5	Théophile Wallez; Jonathan Protzenko; Benjamin Beurdouche; Karthikeyan Bhargavan	TreeSync: Authenticated Group Management for Messaging Layer Security	32nd USENIX Security Symposium	2023	1217-1233		https://www.usenix.org/conference/usenixsecurity23/presentation/wallez	yes	abstract; shared group state; management operations; F-star and DY-star verification; consistency and authentication	STRONGLY_ADJACENT	LOW
L6	David Balbás; Daniel Collins; Serge Vaudenay	Cryptographic Administration for Secure Group Messaging	32nd USENIX Security Symposium	2023	1253-1270		https://www.usenix.org/system/files/usenixsecurity23-balbas.pdf	yes	abstract; administration motivation; membership consistency; add-remove authorization; A-CGKA scope	STRONGLY_ADJACENT	LOW
L7	Joël Alwen; Sandro Coretti; Yevgeniy Dodis; Yiannis Tselekounis	Modular Design of Secure Group Messaging Protocols and the Security of MLS	ACM CCS 2021	2021	1463-1483	10.1145/3460120.3484820	https://eprint.iacr.org/2021/1083	yes	abstract; SGM security predicate; MLS component decomposition; composition theorem scope	ADJACENT_COMPOSITION	LOW
L8	Joël Alwen; Sandro Coretti; Daniel Jost; Marta Mularczyk	Continuous Group Key Agreement with Active Security	TCC 2020; LNCS 12552	2020	261-290	10.1007/978-3-030-64378-2_10	https://crypto.ethz.ch/publications/ACJM20.html	yes	abstract; dynamic membership; active security; forward and post-compromise security; secure-group-messaging context	BACKGROUND_ADJACENT	NONE
L9	Mohit Sethi; Aleksi Peltonen; Tuomas Aura	Misbinding Attacks on Secure Device Pairing and Bootstrapping; extended as Formal Verification of Misbinding Attacks on Secure Device Pairing and Bootstrapping	AsiaCCS 2019; Journal of Information Security and Applications 51	2019-2020	453-464; article 102461	10.1145/3321705.3329813; 10.1016/j.jisa.2020.102461	https://acris.aalto.fi/ws/portalfiles/portal/36903088/Sethi_Peltonen_Aura_Misbinding_Attacks_on_Secure_Device.pdf	yes	abstract; attacker role; identity association; correspondence properties; ProVerif cases; double misbinding	IDENTITY_BINDING_ADJACENT	LOW
L10	Gavin Lowe	A Hierarchy of Authentication Specifications	10th IEEE Computer Security Foundations Workshop	1997	31-43	10.1109/CSFW.1997.596782	https://conferences.computer.org/sp/pdfs/csf/1997/1997-lowe-hierarchy.pdf	yes	authentication hierarchy; non-injective agreement; injective agreement; one-to-one run relation	FOUNDATIONAL	LOW
