lemma	impact_status	original_status	match
normal_single_accept	MISSING	verified	MISMATCH
normal_batch_complete	MISSING	verified	MISMATCH
one_send_two_accepts_exists	MISSING	verified	MISMATCH
same_message_accepted_at_most_once	MISSING	falsified	MISMATCH
full_message_unique_send	MISSING	verified	MISMATCH
receiver_accept_has_sender	MISSING	verified	MISMATCH
injective_receiver_accept	MISSING	falsified	MISMATCH
slot_indices_distinct	MISSING	verified	MISMATCH
process_requires_slot_added	MISSING	verified	MISMATCH
process_requires_seal	MISSING	verified	MISMATCH
complete_requires_all_slots_processed	MISSING	verified	MISMATCH
no_add_after_seal	MISSING	verified	MISMATCH
no_accept_after_close	MISSING	verified	MISMATCH
batch_complete_consumes_state	MISSING	verified	MISMATCH
batch_fail_consumes_state	MISSING	verified	MISMATCH
batch_end_token_single_use	MISSING	verified	MISMATCH
receiver_state_single_batch	MISSING	verified	MISMATCH
receiver_state_single_batch_end	MISSING	verified	MISMATCH
