suite	lemma	actual_status	expected_status	selected_run	match	selected_raw_output
fixed-impact	accept_id_unique	verified	verified	run2	MATCH	proofs/fixed-impact/accept_id_unique.out
fixed-impact	accept_output_has_same_time_accept	verified	verified	run2	MATCH	proofs/fixed-impact/accept_output_has_same_time_accept.out
fixed-impact	accept_output_installed_at_most_once	verified	verified	run2	MATCH	proofs/fixed-impact/accept_output_installed_at_most_once.out
fixed-impact	batch_complete_consumes_state	verified	verified	run2	MATCH	proofs/fixed-impact/batch_complete_consumes_state.out
fixed-impact	batch_end_token_single_use	verified	verified	run2	MATCH	proofs/fixed-impact/batch_end_token_single_use.out
fixed-impact	batch_fail_complete_exclusive	verified	verified	run2	MATCH	proofs/fixed-impact/batch_fail_complete_exclusive.out
fixed-impact	batch_fail_consumes_state	verified	verified	run2	MATCH	proofs/fixed-impact/batch_fail_consumes_state.out
fixed-impact	complete_requires_all_slots_processed	verified	verified	run2	MATCH	proofs/fixed-impact/complete_requires_all_slots_processed.out
fixed-impact	consumer_complete_requires_all_outputs_installed	verified	verified	run2	MATCH	proofs/fixed-impact/consumer_complete_requires_all_outputs_installed.out
fixed-impact	consumer_complete_single_use	verified	verified	run2	MATCH	proofs/fixed-impact/consumer_complete_single_use.out
fixed-impact	dedup_decision_single_use	verified	verified	run2	MATCH	proofs/fixed-impact/dedup_decision_single_use.out
fixed-impact	dedup_outcomes_exclusive	verified	verified	run2	MATCH	proofs/fixed-impact/dedup_outcomes_exclusive.out
fixed-impact	dedup_pass_messages_distinct	verified	verified	run2	MATCH	proofs/fixed-impact/dedup_pass_messages_distinct.out
fixed-impact	distinct_accept_sources_have_distinct_handles	verified	verified	run2	MATCH	proofs/fixed-impact/distinct_accept_sources_have_distinct_handles.out
fixed-impact	duplicate_batch_fail_exists	verified	verified	run2	MATCH	proofs/fixed-impact/duplicate_batch_fail_exists.out
fixed-impact	duplicate_batch_has_no_accept	verified	verified	run2	MATCH	proofs/fixed-impact/duplicate_batch_has_no_accept.out
fixed-impact	duplicate_batch_has_no_accept_output	verified	verified	run2	MATCH	proofs/fixed-impact/duplicate_batch_has_no_accept_output.out
fixed-impact	duplicate_batch_has_no_install	verified	verified	run2	MATCH	proofs/fixed-impact/duplicate_batch_has_no_install.out
fixed-impact	duplicate_detected_before_any_accept	verified	verified	run2	MATCH	proofs/fixed-impact/duplicate_detected_before_any_accept.out
fixed-impact	full_message_unique_send	verified	verified	run2	MATCH	proofs/fixed-impact/full_message_unique_send.out
fixed-impact	injective_receiver_accept	verified	verified	run2	MATCH	proofs/fixed-impact/injective_receiver_accept.out
fixed-impact	install_event_has_single_source	verified	verified	run2	MATCH	proofs/fixed-impact/install_event_has_single_source.out
fixed-impact	install_from_accept_has_session	verified	verified	run2	MATCH	proofs/fixed-impact/install_from_accept_has_session.out
fixed-impact	install_handle_unique	verified	verified	run2	MATCH	proofs/fixed-impact/install_handle_unique.out
fixed-impact	install_has_prior_accept	verified	verified	run2	MATCH	proofs/fixed-impact/install_has_prior_accept.out
fixed-impact	install_requires_batch_complete	verified	verified	run2	MATCH	proofs/fixed-impact/install_requires_batch_complete.out
fixed-impact	install_session_has_interface_origin	verified	verified	run2	MATCH	proofs/fixed-impact/install_session_has_interface_origin.out
fixed-impact	no_accept_after_close	verified	verified	run2	MATCH	proofs/fixed-impact/no_accept_after_close.out
fixed-impact	no_add_after_seal	verified	verified	run2	MATCH	proofs/fixed-impact/no_add_after_seal.out
fixed-impact	no_consumer_after_failed_batch	verified	verified	run2	MATCH	proofs/fixed-impact/no_consumer_after_failed_batch.out
fixed-impact	no_install_after_consumer_close	verified	verified	run2	MATCH	proofs/fixed-impact/no_install_after_consumer_close.out
fixed-impact	normal_batch_complete	verified	verified	run2	MATCH	proofs/fixed-impact/normal_batch_complete.out
fixed-impact	normal_consumer_complete	falsified	falsified	run2	MATCH	proofs/fixed-impact/normal_consumer_complete.out
fixed-impact	normal_distinct_batch_complete	verified	verified	run2	MATCH	proofs/fixed-impact/normal_distinct_batch_complete.out
fixed-impact	normal_distinct_consumer_complete	verified	verified	run2	MATCH	proofs/fixed-impact/normal_distinct_consumer_complete.out
fixed-impact	normal_distinct_fail_slot1_exists	verified	verified	run2	MATCH	proofs/fixed-impact/normal_distinct_fail_slot1_exists.out
fixed-impact	normal_distinct_fail_slot2_exists	verified	verified	run2	MATCH	proofs/fixed-impact/normal_distinct_fail_slot2_exists.out
fixed-impact	normal_one_accept_one_install	verified	verified	run2	MATCH	proofs/fixed-impact/normal_one_accept_one_install.out
fixed-impact	normal_single_accept	verified	verified	run2	MATCH	proofs/fixed-impact/normal_single_accept.out
fixed-impact	one_send_two_accepts_exists	falsified	falsified	run2	MATCH	proofs/fixed-impact/one_send_two_accepts_exists.out
fixed-impact	one_send_two_accepts_two_installs_exists	falsified	falsified	run2	MATCH	proofs/fixed-impact/one_send_two_accepts_two_installs_exists.out
fixed-impact	process_requires_dedup_pass	verified	verified	run2	MATCH	proofs/fixed-impact/process_requires_dedup_pass.out
fixed-impact	process_requires_seal	verified	verified	run2	MATCH	proofs/fixed-impact/process_requires_seal.out
fixed-impact	process_requires_slot_added	verified	verified	run2	MATCH	proofs/fixed-impact/process_requires_slot_added.out
fixed-impact	receiver_accept_has_output	verified	verified	run2	MATCH	proofs/fixed-impact/receiver_accept_has_output.out
fixed-impact	receiver_accept_has_sender	verified	verified	run2	MATCH	proofs/fixed-impact/receiver_accept_has_sender.out
fixed-impact	receiver_accept_has_unique_output	verified	verified	run2	MATCH	proofs/fixed-impact/receiver_accept_has_unique_output.out
fixed-impact	receiver_state_single_batch	verified	verified	run2	MATCH	proofs/fixed-impact/receiver_state_single_batch.out
fixed-impact	receiver_state_single_batch_end	verified	verified	run2	MATCH	proofs/fixed-impact/receiver_state_single_batch_end.out
fixed-impact	same_message_accepted_at_most_once	verified	verified	run2	MATCH	proofs/fixed-impact/same_message_accepted_at_most_once.out
fixed-impact	slot_indices_distinct	verified	verified	run2	MATCH	proofs/fixed-impact/slot_indices_distinct.out
fixed-impact	state_consumed_on_duplicate_fail	verified	verified	run2	MATCH	proofs/fixed-impact/state_consumed_on_duplicate_fail.out
fixed-impact	unique_install_within_completed_consumer	verified	verified	run2	MATCH	proofs/fixed-impact/unique_install_within_completed_consumer.out
fixed-replay	batch_complete_consumes_state	verified	verified	run2	MATCH	proofs/fixed-replay/batch_complete_consumes_state.out
fixed-replay	batch_end_token_single_use	verified	verified	run2	MATCH	proofs/fixed-replay/batch_end_token_single_use.out
