lemma	status	steps	exit_status	wellformedness	loop_marker	source_file	raw_result
normal_confirmed_single_accept	verified	12	0	success	false	proofs/hmac-replay/normal_confirmed_single_accept.out	verified (12 steps)
normal_confirmed_batch_complete	verified	18	0	success	false	proofs/hmac-replay/normal_confirmed_batch_complete.out	verified (18 steps)
confirmed_receiver_accept_has_sender	verified	16	0	success	false	proofs/hmac-replay/confirmed_receiver_accept_has_sender.out	verified (16 steps)
confirmed_message_unique_send	verified	2	0	success	false	proofs/hmac-replay/confirmed_message_unique_send.out	verified (2 steps)
one_confirmed_send_two_accepts_exists	verified	17	0	success	false	proofs/hmac-replay/one_confirmed_send_two_accepts_exists.out	verified (17 steps)
confirmed_message_accepted_at_most_once	falsified	15	0	success	false	proofs/hmac-replay/confirmed_message_accepted_at_most_once.out	falsified - found trace (15 steps)
injective_confirmed_receiver_accept	falsified	15	0	success	false	proofs/hmac-replay/injective_confirmed_receiver_accept.out	falsified - found trace (15 steps)
slot_indices_distinct	verified	1	0	success	false	proofs/hmac-replay/slot_indices_distinct.out	verified (1 steps)
process_requires_slot_added	verified	12	0	success	false	proofs/hmac-replay/process_requires_slot_added.out	verified (12 steps)
process_requires_seal	verified	8	0	success	false	proofs/hmac-replay/process_requires_seal.out	verified (8 steps)
complete_requires_all_slots_processed	verified	18	0	success	false	proofs/hmac-replay/complete_requires_all_slots_processed.out	verified (18 steps)
no_add_after_seal	verified	16	0	success	false	proofs/hmac-replay/no_add_after_seal.out	verified (16 steps)
no_accept_after_close	verified	68	0	success	false	proofs/hmac-replay/no_accept_after_close.out	verified (68 steps)
batch_complete_consumes_state	verified	2	0	success	false	proofs/hmac-replay/batch_complete_consumes_state.out	verified (2 steps)
batch_fail_consumes_state	verified	4	0	success	false	proofs/hmac-replay/batch_fail_consumes_state.out	verified (4 steps)
batch_end_token_single_use	verified	98	0	success	false	proofs/hmac-replay/batch_end_token_single_use.out	verified (98 steps)
receiver_state_single_batch	verified	24	0	success	false	proofs/hmac-replay/receiver_state_single_batch.out	verified (24 steps)
receiver_state_single_batch_end	verified	218	0	success	false	proofs/hmac-replay/receiver_state_single_batch_end.out	verified (218 steps)
