suite	lemma	actual_status	expected_status	match
fixed-replay	normal_single_accept	verified	verified	MATCH
fixed-replay	normal_batch_complete	verified	verified	MATCH
fixed-replay	one_send_two_accepts_exists	falsified	falsified	MATCH
fixed-replay	same_message_accepted_at_most_once	verified	verified	MATCH
fixed-replay	full_message_unique_send	verified	verified	MATCH
fixed-replay	receiver_accept_has_sender	verified	verified	MATCH
fixed-replay	injective_receiver_accept	verified	verified	MATCH
fixed-replay	slot_indices_distinct	verified	verified	MATCH
fixed-replay	process_requires_slot_added	verified	verified	MATCH
fixed-replay	process_requires_seal	verified	verified	MATCH
fixed-replay	complete_requires_all_slots_processed	verified	verified	MATCH
fixed-replay	no_add_after_seal	verified	verified	MATCH
fixed-replay	no_accept_after_close	verified	verified	MATCH
fixed-replay	batch_complete_consumes_state	verified	verified	MATCH
fixed-replay	batch_fail_consumes_state	verified	verified	MATCH
fixed-replay	batch_end_token_single_use	verified	verified	MATCH
fixed-replay	receiver_state_single_batch	verified	verified	MATCH
fixed-replay	receiver_state_single_batch_end	verified	verified	MATCH
fixed-replay	duplicate_batch_fail_exists	verified	verified	MATCH
fixed-replay	duplicate_detected_before_any_accept	verified	verified	MATCH
fixed-replay	duplicate_batch_has_no_accept	verified	verified	MATCH
fixed-replay	process_requires_dedup_pass	verified	verified	MATCH
fixed-replay	dedup_pass_messages_distinct	verified	verified	MATCH
fixed-replay	dedup_decision_single_use	verified	verified	MATCH
fixed-replay	dedup_outcomes_exclusive	verified	verified	MATCH
fixed-replay	normal_distinct_batch_complete	verified	verified	MATCH
fixed-replay	normal_distinct_fail_slot1_exists	verified	verified	MATCH
fixed-replay	normal_distinct_fail_slot2_exists	verified	verified	MATCH
fixed-replay	batch_fail_complete_exclusive	verified	verified	MATCH
fixed-replay	state_consumed_on_duplicate_fail	verified	verified	MATCH
fixed-impact	accept_output_has_same_time_accept	verified	verified	MATCH
fixed-impact	receiver_accept_has_output	verified	verified	MATCH
fixed-impact	receiver_accept_has_unique_output	verified	verified	MATCH
fixed-impact	accept_id_unique	verified	verified	MATCH
fixed-impact	install_has_prior_accept	missing	verified	MISMATCH
fixed-impact	install_session_has_interface_origin	verified	verified	MATCH
fixed-impact	install_from_accept_has_session	verified	verified	MATCH
fixed-impact	install_event_has_single_source	verified	verified	MATCH
fixed-impact	install_handle_unique	verified	verified	MATCH
fixed-impact	accept_output_installed_at_most_once	verified	verified	MATCH
fixed-impact	distinct_accept_sources_have_distinct_handles	verified	verified	MATCH
fixed-impact	install_requires_batch_complete	verified	verified	MATCH
fixed-impact	consumer_complete_requires_all_outputs_installed	verified	verified	MATCH
fixed-impact	consumer_complete_single_use	verified	verified	MATCH
fixed-impact	no_install_after_consumer_close	verified	verified	MATCH
fixed-impact	normal_one_accept_one_install	verified	verified	MATCH
fixed-impact	normal_consumer_complete	falsified	falsified	MATCH
fixed-impact	one_send_two_accepts_two_installs_exists	falsified	falsified	MATCH
fixed-impact	unique_install_within_completed_consumer	verified	verified	MATCH
fixed-impact	normal_single_accept	verified	verified	MATCH
fixed-impact	normal_batch_complete	verified	verified	MATCH
fixed-impact	one_send_two_accepts_exists	falsified	falsified	MATCH
fixed-impact	same_message_accepted_at_most_once	verified	verified	MATCH
fixed-impact	full_message_unique_send	verified	verified	MATCH
fixed-impact	receiver_accept_has_sender	verified	verified	MATCH
fixed-impact	injective_receiver_accept	verified	verified	MATCH
fixed-impact	slot_indices_distinct	verified	verified	MATCH
fixed-impact	process_requires_slot_added	verified	verified	MATCH
fixed-impact	process_requires_seal	verified	verified	MATCH
