lemma	status	steps	exit_status	wellformedness	loop_marker	source_file	raw_result
accept_output_has_same_time_accept	verified	4	0	success	false	proofs/fixed-impact/accept_output_has_same_time_accept.out	verified (4 steps)
receiver_accept_has_output	verified	4	0	success	false	proofs/fixed-impact/receiver_accept_has_output.out	verified (4 steps)
receiver_accept_has_unique_output	verified	20	0	success	false	proofs/fixed-impact/receiver_accept_has_unique_output.out	verified (20 steps)
accept_id_unique	verified	193	0	success	false	proofs/fixed-impact/accept_id_unique.out	verified (193 steps)
install_has_prior_accept	verified	18	0	success	false	proofs/fixed-impact/install_has_prior_accept.out	verified (18 steps)
install_session_has_interface_origin	verified	4	0	success	false	proofs/fixed-impact/install_session_has_interface_origin.out	verified (4 steps)
install_from_accept_has_session	verified	4	0	success	false	proofs/fixed-impact/install_from_accept_has_session.out	verified (4 steps)
install_event_has_single_source	verified	26	0	success	false	proofs/fixed-impact/install_event_has_single_source.out	verified (26 steps)
install_handle_unique	verified	52	0	success	false	proofs/fixed-impact/install_handle_unique.out	verified (52 steps)
accept_output_installed_at_most_once	verified	180	0	success	false	proofs/fixed-impact/accept_output_installed_at_most_once.out	verified (180 steps)
distinct_accept_sources_have_distinct_handles	verified	26	0	success	false	proofs/fixed-impact/distinct_accept_sources_have_distinct_handles.out	verified (26 steps)
install_requires_batch_complete	verified	10	0	success	false	proofs/fixed-impact/install_requires_batch_complete.out	verified (10 steps)
consumer_complete_requires_all_outputs_installed	verified	30	0	success	false	proofs/fixed-impact/consumer_complete_requires_all_outputs_installed.out	verified (30 steps)
consumer_complete_single_use	verified	36	0	success	false	proofs/fixed-impact/consumer_complete_single_use.out	verified (36 steps)
no_install_after_consumer_close	verified	44	0	success	false	proofs/fixed-impact/no_install_after_consumer_close.out	verified (44 steps)
normal_one_accept_one_install	verified	22	0	success	false	proofs/fixed-impact/normal_one_accept_one_install.out	verified (22 steps)
normal_consumer_complete	falsified	176	0	success	false	proofs/fixed-impact/normal_consumer_complete.out	falsified - no trace found (176 steps)
one_send_two_accepts_two_installs_exists	falsified	172	0	success	false	proofs/fixed-impact/one_send_two_accepts_two_installs_exists.out	falsified - no trace found (172 steps)
unique_install_within_completed_consumer	verified	259	0	success	false	proofs/fixed-impact/unique_install_within_completed_consumer.out	verified (259 steps)
normal_single_accept	verified	11	0	success	false	proofs/fixed-impact/normal_single_accept.out	verified (11 steps)
normal_batch_complete	verified	16	0	success	false	proofs/fixed-impact/normal_batch_complete.out	verified (16 steps)
one_send_two_accepts_exists	falsified	21	0	success	false	proofs/fixed-impact/one_send_two_accepts_exists.out	falsified - no trace found (21 steps)
same_message_accepted_at_most_once	verified	34	0	success	false	proofs/fixed-impact/same_message_accepted_at_most_once.out	verified (34 steps)
full_message_unique_send	verified	2	0	success	false	proofs/fixed-impact/full_message_unique_send.out	verified (2 steps)
receiver_accept_has_sender	verified	16	0	success	false	proofs/fixed-impact/receiver_accept_has_sender.out	verified (16 steps)
injective_receiver_accept	verified	70	0	success	false	proofs/fixed-impact/injective_receiver_accept.out	verified (70 steps)
slot_indices_distinct	verified	1	0	success	false	proofs/fixed-impact/slot_indices_distinct.out	verified (1 steps)
process_requires_slot_added	verified	12	0	success	false	proofs/fixed-impact/process_requires_slot_added.out	verified (12 steps)
process_requires_seal	verified	8	0	success	false	proofs/fixed-impact/process_requires_seal.out	verified (8 steps)
complete_requires_all_slots_processed	verified	18	0	success	false	proofs/fixed-impact/complete_requires_all_slots_processed.out	verified (18 steps)
no_add_after_seal	verified	24	0	success	false	proofs/fixed-impact/no_add_after_seal.out	verified (24 steps)
no_accept_after_close	verified	86	0	success	false	proofs/fixed-impact/no_accept_after_close.out	verified (86 steps)
batch_complete_consumes_state	verified	2	0	success	false	proofs/fixed-impact/batch_complete_consumes_state.out	verified (2 steps)
batch_fail_consumes_state	verified	5	0	success	false	proofs/fixed-impact/batch_fail_consumes_state.out	verified (5 steps)
batch_end_token_single_use	verified	144	0	success	false	proofs/fixed-impact/batch_end_token_single_use.out	verified (144 steps)
receiver_state_single_batch	verified	24	0	success	false	proofs/fixed-impact/receiver_state_single_batch.out	verified (24 steps)
receiver_state_single_batch_end	verified	352	0	success	false	proofs/fixed-impact/receiver_state_single_batch_end.out	verified (352 steps)
duplicate_batch_fail_exists	verified	19	0	success	false	proofs/fixed-impact/duplicate_batch_fail_exists.out	verified (19 steps)
duplicate_detected_before_any_accept	verified	12	0	success	false	proofs/fixed-impact/duplicate_detected_before_any_accept.out	verified (12 steps)
duplicate_batch_has_no_accept	verified	12	0	success	false	proofs/fixed-impact/duplicate_batch_has_no_accept.out	verified (12 steps)
duplicate_batch_has_no_accept_output	verified	12	0	success	false	proofs/fixed-impact/duplicate_batch_has_no_accept_output.out	verified (12 steps)
duplicate_batch_has_no_install	verified	12	0	success	false	proofs/fixed-impact/duplicate_batch_has_no_install.out	verified (12 steps)
process_requires_dedup_pass	verified	92	0	success	false	proofs/fixed-impact/process_requires_dedup_pass.out	verified (92 steps)
dedup_pass_messages_distinct	verified	2	0	success	false	proofs/fixed-impact/dedup_pass_messages_distinct.out	verified (2 steps)
dedup_decision_single_use	verified	52	0	success	false	proofs/fixed-impact/dedup_decision_single_use.out	verified (52 steps)
dedup_outcomes_exclusive	verified	8	0	success	false	proofs/fixed-impact/dedup_outcomes_exclusive.out	verified (8 steps)
normal_distinct_batch_complete	verified	23	0	success	false	proofs/fixed-impact/normal_distinct_batch_complete.out	verified (23 steps)
normal_distinct_consumer_complete	verified	35	0	success	false	proofs/fixed-impact/normal_distinct_consumer_complete.out	verified (35 steps)
normal_distinct_fail_slot1_exists	verified	19	0	success	false	proofs/fixed-impact/normal_distinct_fail_slot1_exists.out	verified (19 steps)
normal_distinct_fail_slot2_exists	verified	23	0	success	false	proofs/fixed-impact/normal_distinct_fail_slot2_exists.out	verified (23 steps)
batch_fail_complete_exclusive	verified	16	0	success	false	proofs/fixed-impact/batch_fail_complete_exclusive.out	verified (16 steps)
state_consumed_on_duplicate_fail	verified	2	0	success	false	proofs/fixed-impact/state_consumed_on_duplicate_fail.out	verified (2 steps)
no_consumer_after_failed_batch	verified	16	0	success	false	proofs/fixed-impact/no_consumer_after_failed_batch.out	verified (16 steps)
