lemma	status	steps	exit_status	wellformedness	loop_marker	source_file	raw_result
normal_single_accept	verified	11	0	success	false	proofs/fixed-replay/normal_single_accept.out	verified (11 steps)
normal_batch_complete	verified	16	0	success	false	proofs/fixed-replay/normal_batch_complete.out	verified (16 steps)
one_send_two_accepts_exists	falsified	21	0	success	false	proofs/fixed-replay/one_send_two_accepts_exists.out	falsified - no trace found (21 steps)
same_message_accepted_at_most_once	verified	34	0	success	false	proofs/fixed-replay/same_message_accepted_at_most_once.out	verified (34 steps)
full_message_unique_send	verified	2	0	success	false	proofs/fixed-replay/full_message_unique_send.out	verified (2 steps)
receiver_accept_has_sender	verified	16	0	success	false	proofs/fixed-replay/receiver_accept_has_sender.out	verified (16 steps)
injective_receiver_accept	verified	70	0	success	false	proofs/fixed-replay/injective_receiver_accept.out	verified (70 steps)
slot_indices_distinct	verified	1	0	success	false	proofs/fixed-replay/slot_indices_distinct.out	verified (1 steps)
process_requires_slot_added	verified	12	0	success	false	proofs/fixed-replay/process_requires_slot_added.out	verified (12 steps)
process_requires_seal	verified	8	0	success	false	proofs/fixed-replay/process_requires_seal.out	verified (8 steps)
complete_requires_all_slots_processed	verified	18	0	success	false	proofs/fixed-replay/complete_requires_all_slots_processed.out	verified (18 steps)
no_add_after_seal	verified	24	0	success	false	proofs/fixed-replay/no_add_after_seal.out	verified (24 steps)
no_accept_after_close	verified	86	0	success	false	proofs/fixed-replay/no_accept_after_close.out	verified (86 steps)
batch_complete_consumes_state	verified	2	0	success	false	proofs/fixed-replay/batch_complete_consumes_state.out	verified (2 steps)
batch_fail_consumes_state	verified	5	0	success	false	proofs/fixed-replay/batch_fail_consumes_state.out	verified (5 steps)
batch_end_token_single_use	verified	144	0	success	false	proofs/fixed-replay/batch_end_token_single_use.out	verified (144 steps)
receiver_state_single_batch	verified	24	0	success	false	proofs/fixed-replay/receiver_state_single_batch.out	verified (24 steps)
receiver_state_single_batch_end	verified	352	0	success	false	proofs/fixed-replay/receiver_state_single_batch_end.out	verified (352 steps)
duplicate_batch_fail_exists	verified	19	0	success	false	proofs/fixed-replay/duplicate_batch_fail_exists.out	verified (19 steps)
duplicate_detected_before_any_accept	verified	12	0	success	false	proofs/fixed-replay/duplicate_detected_before_any_accept.out	verified (12 steps)
duplicate_batch_has_no_accept	verified	12	0	success	false	proofs/fixed-replay/duplicate_batch_has_no_accept.out	verified (12 steps)
process_requires_dedup_pass	verified	92	0	success	false	proofs/fixed-replay/process_requires_dedup_pass.out	verified (92 steps)
dedup_pass_messages_distinct	verified	2	0	success	false	proofs/fixed-replay/dedup_pass_messages_distinct.out	verified (2 steps)
dedup_decision_single_use	verified	52	0	success	false	proofs/fixed-replay/dedup_decision_single_use.out	verified (52 steps)
dedup_outcomes_exclusive	verified	8	0	success	false	proofs/fixed-replay/dedup_outcomes_exclusive.out	verified (8 steps)
normal_distinct_batch_complete	verified	23	0	success	false	proofs/fixed-replay/normal_distinct_batch_complete.out	verified (23 steps)
normal_distinct_fail_slot1_exists	verified	19	0	success	false	proofs/fixed-replay/normal_distinct_fail_slot1_exists.out	verified (19 steps)
normal_distinct_fail_slot2_exists	verified	23	0	success	false	proofs/fixed-replay/normal_distinct_fail_slot2_exists.out	verified (23 steps)
batch_fail_complete_exclusive	verified	16	0	success	false	proofs/fixed-replay/batch_fail_complete_exclusive.out	verified (16 steps)
state_consumed_on_duplicate_fail	verified	2	0	success	false	proofs/fixed-replay/state_consumed_on_duplicate_fail.out	verified (2 steps)
