lemma	status	steps	exit_status	wellformedness	loop_marker	source_file	raw_result
executable_four_slots_added	verified	10	0	success	false	proofs/v7/executable_four_slots_added.out	verified (10 steps)
executable_seal_batch	verified	3	0	success	false	proofs/v7/executable_seal_batch.out	verified (3 steps)
executable_four_slots_processed	verified	13	0	success	false	proofs/v7/executable_four_slots_processed.out	verified (13 steps)
executable_batch_complete	verified	12	0	success	false	proofs/v7/executable_batch_complete.out	verified (12 steps)
executable_batch_fail	verified	7	0	success	false	proofs/v7/executable_batch_fail.out	verified (7 steps)
seal_requires_all_slots_added	verified	14	0	success	false	proofs/v7/seal_requires_all_slots_added.out	verified (14 steps)
process_requires_slot_added	verified	22	0	success	false	proofs/v7/process_requires_slot_added.out	verified (22 steps)
process_requires_seal	verified	14	0	success	false	proofs/v7/process_requires_seal.out	verified (14 steps)
complete_requires_seal	verified	4	0	success	false	proofs/v7/complete_requires_seal.out	verified (4 steps)
fail_requires_seal	verified	14	0	success	false	proofs/v7/fail_requires_seal.out	verified (14 steps)
complete_requires_all_slots_done	verified	14	0	success	false	proofs/v7/complete_requires_all_slots_done.out	verified (14 steps)
complete_requires_all_added_slots_processed	verified	30	0	success	false	proofs/v7/complete_requires_all_added_slots_processed.out	verified (30 steps)
no_add_after_seal	verified	24	0	success	false	proofs/v7/no_add_after_seal.out	verified (24 steps)
no_add_after_complete	verified	44	0	success	false	proofs/v7/no_add_after_complete.out	verified (44 steps)
no_add_after_fail	verified	124	0	success	false	proofs/v7/no_add_after_fail.out	verified (124 steps)
no_slot_accept_after_complete	verified	44	0	success	false	proofs/v7/no_slot_accept_after_complete.out	verified (44 steps)
no_slot_accept_after_fail	verified	104	0	success	false	proofs/v7/no_slot_accept_after_fail.out	verified (104 steps)
no_slot_accept_after_close	verified	146	0	success	false	proofs/v7/no_slot_accept_after_close.out	verified (146 steps)
batch_complete_consumes_state	verified	2	0	success	false	proofs/v7/batch_complete_consumes_state.out	verified (2 steps)
batch_fail_consumes_state	verified	6	0	success	false	proofs/v7/batch_fail_consumes_state.out	verified (6 steps)
batch_end_token_single_use	verified	206	0	success	false	proofs/v7/batch_end_token_single_use.out	verified (206 steps)
batch_fail_complete_exclusive	verified	22	0	success	false	proofs/v7/batch_fail_complete_exclusive.out	verified (22 steps)
receiver_state_single_batch_end	verified	566	0	success	false	proofs/v7/receiver_state_single_batch_end.out	verified (566 steps)
slot_origin	verified	30	0	success	false	proofs/v7/slot_origin.out	verified (30 steps)
