suite	target	actual_status	expected_status	selected_run	match
combined-replay	normal_confirmed_single_accept	verified	verified	run1	MATCH
combined-replay	normal_confirmed_batch_complete	verified	verified	run1	MATCH
combined-replay	confirmed_receiver_accept_has_sender	verified	verified	run1	MATCH
combined-replay	confirmed_message_unique_send	verified	verified	run1	MATCH
combined-replay	one_confirmed_send_two_accepts_exists	falsified	falsified	run1	MATCH
combined-replay	confirmed_message_accepted_at_most_once	verified	verified	run1	MATCH
combined-replay	injective_confirmed_receiver_accept	verified	verified	run1	MATCH
combined-replay	slot_indices_distinct	verified	verified	run1	MATCH
combined-replay	process_requires_slot_added	verified	verified	run1	MATCH
combined-replay	process_requires_seal	verified	verified	run1	MATCH
combined-replay	complete_requires_all_slots_processed	verified	verified	run1	MATCH
combined-replay	no_add_after_seal	verified	verified	run1	MATCH
combined-replay	no_accept_after_close	verified	verified	run1	MATCH
combined-replay	batch_complete_consumes_state	verified	verified	run1	MATCH
combined-replay	batch_fail_consumes_state	verified	verified	run1	MATCH
combined-replay	batch_end_token_single_use	verified	verified	run1	MATCH
combined-replay	receiver_state_single_batch	verified	verified	run1	MATCH
combined-replay	receiver_state_single_batch_end	verified	verified	run1	MATCH
combined-replay	duplicate_batch_fail_exists	verified	verified	run1	MATCH
combined-replay	duplicate_detected_before_any_accept	verified	verified	run1	MATCH
combined-replay	duplicate_batch_has_no_accept	verified	verified	run1	MATCH
combined-replay	process_requires_dedup_pass	verified	verified	run1	MATCH
combined-replay	dedup_pass_messages_distinct	verified	verified	run1	MATCH
combined-replay	dedup_decision_single_use	verified	verified	run1	MATCH
combined-replay	dedup_outcomes_exclusive	verified	verified	run1	MATCH
combined-replay	normal_distinct_batch_complete	verified	verified	run1	MATCH
combined-replay	normal_distinct_fail_slot1_exists	verified	verified	run1	MATCH
combined-replay	normal_distinct_fail_slot2_exists	verified	verified	run1	MATCH
combined-replay	batch_fail_complete_exclusive	verified	verified	run1	MATCH
combined-replay	state_consumed_on_duplicate_fail	verified	verified	run1	MATCH
combined-replay	confirmed_base_message_accepted_at_most_once	verified	verified	run1	MATCH
combined-replay	duplicate_same_base_different_tag_fail_exists	verified	verified	run1	MATCH
combined-replay	confirmed_accept_requires_valid_tag	verified	verified	run1	MATCH
combined-replay	confirmed_accept_requires_hmac_validated	verified	verified	run1	MATCH
combined-replay	hmac_failure_slot1_exists	verified	verified	run1	MATCH
combined-replay	hmac_failure_slot2_after_prior_accept_replay_exists	verified	verified	run1	MATCH
combined-replay	hmac_failed_slot_has_no_accept	verified	verified	run1	MATCH
combined-replay	normal_two_distinct_valid_confirmed_accepts_complete	verified	verified	run1	MATCH
combined-impact	normal_confirmed_single_accept	verified	verified	run1	MATCH
combined-impact	normal_confirmed_batch_complete	verified	verified	run1	MATCH
combined-impact	confirmed_receiver_accept_has_sender	verified	verified	run1	MATCH
combined-impact	confirmed_message_unique_send	verified	verified	run1	MATCH
combined-impact	one_confirmed_send_two_accepts_exists	falsified	falsified	run1	MATCH
combined-impact	confirmed_message_accepted_at_most_once	verified	verified	run1	MATCH
combined-impact	injective_confirmed_receiver_accept	verified	verified	run1	MATCH
combined-impact	slot_indices_distinct	verified	verified	run1	MATCH
combined-impact	process_requires_slot_added	verified	verified	run1	MATCH
combined-impact	process_requires_seal	verified	verified	run1	MATCH
combined-impact	complete_requires_all_slots_processed	verified	verified	run1	MATCH
combined-impact	no_add_after_seal	verified	verified	run1	MATCH
combined-impact	no_accept_after_close	verified	verified	run1	MATCH
combined-impact	batch_complete_consumes_state	verified	verified	run1	MATCH
combined-impact	batch_fail_consumes_state	verified	verified	run1	MATCH
combined-impact	batch_end_token_single_use	verified	verified	run1	MATCH
combined-impact	receiver_state_single_batch	verified	verified	run1	MATCH
combined-impact	receiver_state_single_batch_end	verified	verified	run1	MATCH
combined-impact	duplicate_batch_fail_exists	verified	verified	run1	MATCH
combined-impact	duplicate_detected_before_any_accept	verified	verified	run1	MATCH
combined-impact	duplicate_batch_has_no_accept	verified	verified	run1	MATCH
combined-impact	process_requires_dedup_pass	verified	verified	run1	MATCH
combined-impact	dedup_pass_messages_distinct	verified	verified	run1	MATCH
combined-impact	dedup_decision_single_use	verified	verified	run1	MATCH
combined-impact	dedup_outcomes_exclusive	verified	verified	run1	MATCH
combined-impact	normal_distinct_batch_complete	verified	verified	run1	MATCH
combined-impact	normal_distinct_fail_slot1_exists	verified	verified	run1	MATCH
combined-impact	normal_distinct_fail_slot2_exists	verified	verified	run1	MATCH
combined-impact	batch_fail_complete_exclusive	verified	verified	run1	MATCH
combined-impact	state_consumed_on_duplicate_fail	verified	verified	run1	MATCH
combined-impact	confirmed_base_message_accepted_at_most_once	verified	verified	run1	MATCH
combined-impact	duplicate_same_base_different_tag_fail_exists	verified	verified	run1	MATCH
combined-impact	confirmed_accept_requires_valid_tag	verified	verified	run1	MATCH
combined-impact	confirmed_accept_requires_hmac_validated	verified	verified	run1	MATCH
combined-impact	hmac_failure_slot1_exists	verified	verified	run1	MATCH
combined-impact	hmac_failure_slot2_after_prior_accept_replay_exists	verified	verified	run1	MATCH
combined-impact	hmac_failed_slot_has_no_accept	verified	verified	run1	MATCH
combined-impact	normal_two_distinct_valid_confirmed_accepts_complete	verified	verified	run1	MATCH
combined-impact	accept_output_has_same_time_confirmed_accept	verified	verified	run1	MATCH
combined-impact	confirmed_receiver_accept_has_output	verified	verified	run1	MATCH
combined-impact	confirmed_receiver_accept_has_unique_output	verified	verified	run2	MATCH
combined-impact	accept_id_unique	verified	verified	run1	MATCH
combined-impact	install_has_prior_accept	verified	verified	run1	MATCH
combined-impact	install_session_has_interface_origin	verified	verified	run1	MATCH
combined-impact	install_from_accept_has_session	verified	verified	run1	MATCH
combined-impact	install_event_has_single_source	verified	verified	run1	MATCH
combined-impact	install_handle_unique	verified	verified	run1	MATCH
combined-impact	accept_output_installed_at_most_once	verified	verified	run1	MATCH
