suite	target	formula_body_sha256
combined-replay	normal_confirmed_single_accept	4d4f3b78cafdc235888cc88ea57815cdd6554418005428601a0d2617ad303569
combined-replay	normal_confirmed_batch_complete	522395300e4896c63d79054405d6db30f0d542f1637d81fb6ff03bc112c156f1
combined-replay	confirmed_receiver_accept_has_sender	46d94c8acc7539c15370e31d8d45d39ffa956fef94edf2b0bd770cc7cfa32d50
combined-replay	confirmed_message_unique_send	7f6976a97718d23fccd7be7e08bc056c4d6541ee5742e05eeb359308e9954178
combined-replay	one_confirmed_send_two_accepts_exists	bf52523e2087bfe80d2bd0109e18f5fa533284814763eea78e295dd004b3c252
combined-replay	confirmed_message_accepted_at_most_once	bb982aa85076f527b1649199a1ca7508469d092ad2af30ca681b74133b2e018d
combined-replay	injective_confirmed_receiver_accept	b18305e767fe15c88b6df706df284e2acb29fe00acec323a6cc38a93fd1cf4a2
combined-replay	slot_indices_distinct	3e53939fc5deda287ae7ff0f3d6bcde2386fc2e4f9e871698d522ac2e9393ddd
combined-replay	process_requires_slot_added	81a6246a22d8b66680b13a10b513a88a4c86a43f2056511556da5c1315802d92
combined-replay	process_requires_seal	0bb7b91f43d96818a8b1022780d87d943f6ae9d46076507e731c2f0c13b10c6c
combined-replay	complete_requires_all_slots_processed	a4eb22249ba5ad68b4879defacff008f69f148c513b4de7374ec6c5e0ace59d6
combined-replay	no_add_after_seal	04d69f4613c594147857e4006b1f9f77d3916f6725924f3ed74a42067daa448d
combined-replay	no_accept_after_close	610eb21aca1e2b95dca4cfd4c4fc40f05d5f928e2be89384fe7beab731a74737
combined-replay	batch_complete_consumes_state	ebdee3b44e3be089ed16a88d24ec0dc8f359eade0d8593da63a4ae22b3ad965a
combined-replay	batch_fail_consumes_state	8b6a70b6f809f50f347ccf7bca53d26223e5865b44453716060ef2455c372e5e
combined-replay	batch_end_token_single_use	23a1c2e656716ffcd2452ad001cbe7a427ca49a95958b391f2e30da6780f8f36
combined-replay	receiver_state_single_batch	49285db8f472b52c1794584742fc65e5fde58d245a6377bd4d915dbb1a44035f
combined-replay	receiver_state_single_batch_end	2df7e8efb05f0de9a1dee2b47d6abb6fb55deac0aa213608f7a984cfc50b1fec
combined-replay	duplicate_batch_fail_exists	452ca138bf7161bfe2e1784139d156a58d2d2e75bf940f1e4189f956db64dc19
combined-replay	duplicate_detected_before_any_accept	d4fb72cea64f9aca8e9ae8773cd7c919d5594ea041610285f7ea6aa064868ff7
combined-replay	duplicate_batch_has_no_accept	49ba26a0659328ae214852bbed65978d6ad73175610ce158b335d788c154d515
