suite	target	expected_status
combined-replay	normal_confirmed_single_accept	verified
combined-replay	normal_confirmed_batch_complete	verified
combined-replay	confirmed_receiver_accept_has_sender	verified
combined-replay	confirmed_message_unique_send	verified
combined-replay	one_confirmed_send_two_accepts_exists	falsified
combined-replay	confirmed_message_accepted_at_most_once	verified
combined-replay	injective_confirmed_receiver_accept	verified
combined-replay	slot_indices_distinct	verified
combined-replay	process_requires_slot_added	verified
combined-replay	process_requires_seal	verified
combined-replay	complete_requires_all_slots_processed	verified
combined-replay	no_add_after_seal	verified
combined-replay	no_accept_after_close	verified
combined-replay	batch_complete_consumes_state	verified
combined-replay	batch_fail_consumes_state	verified
combined-replay	batch_end_token_single_use	verified
combined-replay	receiver_state_single_batch	verified
combined-replay	receiver_state_single_batch_end	verified
combined-replay	duplicate_batch_fail_exists	verified
combined-replay	duplicate_detected_before_any_accept	verified
combined-replay	duplicate_batch_has_no_accept	verified
combined-replay	process_requires_dedup_pass	verified
combined-replay	dedup_pass_messages_distinct	verified
combined-replay	dedup_decision_single_use	verified
combined-replay	dedup_outcomes_exclusive	verified
combined-replay	normal_distinct_batch_complete	verified
combined-replay	normal_distinct_fail_slot1_exists	verified
combined-replay	normal_distinct_fail_slot2_exists	verified
combined-replay	batch_fail_complete_exclusive	verified
combined-replay	state_consumed_on_duplicate_fail	verified
combined-replay	confirmed_base_message_accepted_at_most_once	verified
combined-replay	duplicate_same_base_different_tag_fail_exists	verified
combined-replay	confirmed_accept_requires_valid_tag	verified
combined-replay	confirmed_accept_requires_hmac_validated	verified
combined-replay	hmac_failure_slot1_exists	verified
combined-replay	hmac_failure_slot2_after_prior_accept_replay_exists	verified
combined-replay	hmac_failed_slot_has_no_accept	verified
combined-replay	normal_two_distinct_valid_confirmed_accepts_complete	verified
combined-impact	normal_confirmed_single_accept	verified
combined-impact	normal_confirmed_batch_complete	verified
combined-impact	confirmed_receiver_accept_has_sender	verified
combined-impact	confirmed_message_unique_send	verified
combined-impact	one_confirmed_send_two_accepts_exists	falsified
combined-impact	confirmed_message_accepted_at_most_once	verified
combined-impact	injective_confirmed_receiver_accept	verified
combined-impact	slot_indices_distinct	verified
combined-impact	process_requires_slot_added	verified
combined-impact	process_requires_seal	verified
combined-impact	complete_requires_all_slots_processed	verified
combined-impact	no_add_after_seal	verified
combined-impact	no_accept_after_close	verified
combined-impact	batch_complete_consumes_state	verified
combined-impact	batch_fail_consumes_state	verified
combined-impact	batch_end_token_single_use	verified
combined-impact	receiver_state_single_batch	verified
combined-impact	receiver_state_single_batch_end	verified
combined-impact	duplicate_batch_fail_exists	verified
combined-impact	duplicate_detected_before_any_accept	verified
combined-impact	duplicate_batch_has_no_accept	verified
combined-impact	process_requires_dedup_pass	verified
combined-impact	dedup_pass_messages_distinct	verified
combined-impact	dedup_decision_single_use	verified
combined-impact	dedup_outcomes_exclusive	verified
combined-impact	normal_distinct_batch_complete	verified
combined-impact	normal_distinct_fail_slot1_exists	verified
combined-impact	normal_distinct_fail_slot2_exists	verified
combined-impact	batch_fail_complete_exclusive	verified
combined-impact	state_consumed_on_duplicate_fail	verified
combined-impact	confirmed_base_message_accepted_at_most_once	verified
combined-impact	duplicate_same_base_different_tag_fail_exists	verified
combined-impact	confirmed_accept_requires_valid_tag	verified
combined-impact	confirmed_accept_requires_hmac_validated	verified
combined-impact	hmac_failure_slot1_exists	verified
combined-impact	hmac_failure_slot2_after_prior_accept_replay_exists	verified
combined-impact	hmac_failed_slot_has_no_accept	verified
combined-impact	normal_two_distinct_valid_confirmed_accepts_complete	verified
combined-impact	accept_output_has_same_time_confirmed_accept	verified
combined-impact	confirmed_receiver_accept_has_output	verified
combined-impact	confirmed_receiver_accept_has_unique_output	verified
combined-impact	accept_id_unique	verified
combined-impact	install_has_prior_accept	verified
combined-impact	install_session_has_interface_origin	verified
combined-impact	install_from_accept_has_session	verified
combined-impact	install_event_has_single_source	verified
combined-impact	install_handle_unique	verified
combined-impact	accept_output_installed_at_most_once	verified
combined-impact	distinct_accept_sources_have_distinct_handles	verified
combined-impact	install_requires_batch_complete	verified
combined-impact	consumer_complete_requires_all_outputs_installed	verified
combined-impact	consumer_complete_single_use	verified
combined-impact	no_install_after_consumer_close	verified
combined-impact	normal_one_confirmed_accept_one_install	verified
